Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
F20	1	0	2385	8.66498951782	0.337945492662	0.00269898923361	0.000435987246587	926.708022944	881	0.118410282234	245.306643433	26.1532349603	1833.70999996	4	0	0					
F21	1	0	741	15.4480431849	0.371120107962	0.00407797474884	0.000370163066293	760.275784668	304	0.137624371567	250.809682371	43.5328947368	1535.04521394	4	0	0					
F22	1	0	2119	19.5077866918	0.758376592732	0.00533845683298	0.000934499599896	928.508738284	1735	0.118977093904	207.912912269	26.0766570605	1608.64977996	4	0	0					
F23	1	0	2354	7.70305862362	0.249787595582	0.00225235067405	0.000321630778328	1099.25593943	623	0.11762328061	235.471288481	30.937399679	1758.68599068	4	0	0					
F24	1	0	2158	80.9745134384	3.29749768304	0.0274690020765	0.00453722937747	1747.47749404	7718	0.135529100941	439.30492926	24.7746825602	3003.83088246	4	0	0					
G01	1	0	2252	9.59902309059	0.291740674956	0.00301275283793	0.000368739687949	913.277689675	709	0.123533776024	265.38416118599997	33.0211565585	1851.68363212	4	0	0					
G02	1	0	1861	138.724341752	5.2283718431	0.0828883463357	0.00744698353388	2568.33717385	10421	0.166201376876	942.541005216	26.7281450916	5301.6334562	4	0	0					
G03	1	0	1988	10.2424547284	0.293259557344	0.00313794314798	0.000348134016351	958.814545582	648	0.123312264207	275.973456098	34.7808641975	1958.71763043	4	0	0					
G04	1	0	2164	10.1270794824	0.298059149723	0.00341643384715	0.000373826004635	973.22682416	699	0.119985302607	259.740510303	33.5507868383	1806.2883799	4	0	0					
G05	1	0	2116	9.74858223062	0.312854442344	0.00312484660129	0.000382171629972	974.800028199	725	0.125450420299	300.025584659	30.924137931	2029.88390648	4	0	0					
G06	1	0	2394	10.067251462	0.271929824561	0.00334780183933	0.0003691001877	1003.07171529	707	0.12367919558	299.570174291	37.6548797737	1995.13079821	4	0	0					
G07	1	0	2265	9.65518763797	0.308167770419	0.00322266387638	0.00038298106136	1032.12945461	767	0.12467277375	326.830569786	31.2464146023	2253.86908702	4	0	0					
G08	1	0	2117	10.4090694379	0.365139348134	0.00328658210194	0.000455500125709	996.120745327	839	0.124402894229	260.218404861	28.6615017878	1842.3527939	4	0	0					
G09	1	0	2191	10.7453217709	0.286170698311	0.00377475717397	0.000347806298547	1058.22260039	688	0.128934038382	365.342384478	37.6627906977	2297.5469205	4	0	0					
