Well,Plane,Timepoint,Cell Selected - Number of Objects,Cell Selected - Total Spot Area - Mean per Well,Cell Selected - Number of Spots - Mean per Well,Cell Selected - Relative Spot Intensity - Mean per Well,Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well,Cell Selected - Intensity Cytoplasm Mean - Mean per Well,Spots Selected - Number of Objects,Spots Selected - Relative Spot  Intensity - Mean per Well,Spots Selected - Corrected Spot  Intensity - Mean per Well,Spots Selected - Spot Area [px²] - Mean per Well,Spots Selected - Intensity Spot Mean - Mean per Well,Number of Analyzed Fields,Height [µm],Time [s],Compound,Concentration,Cell Type,Cell Count,
B04,1,0,2197,11.9080564406,0.313609467456,0.0037603029443,0.000390778717874,1053.22518045,730,0.125810365983,320.067594926,38.4534246575,2183.31931439,4,0,0,,,,,
B05,1,0,2338,8.73524379812,0.21129170231,0.00296362697446,0.00026860902589,1065.22987751,546,0.125694745312,330.336685356,41.7710622711,2145.12033011,4,0,0,,,,,
B06,1,0,2287,9.72977700044,0.243550502842,0.0034056768432,0.000319306952569,1060.85751787,592,0.122138220473,323.661375843,40.4408783784,2187.14792206,4,0,0,,,,,
B07,1,0,2489,9.94335074327,0.232221775814,0.00290290821989,0.000295622795375,1033.15871182,628,0.123538597015,304.036496508,43.3407643312,2021.83298953,4,0,0,,,,,
B08,1,0,2280,8.67280701754,0.233333333333,0.00311981907225,0.000292904263475,1105.36748199,600,0.131141081134,448.77116502,37.8,2818.73504912,4,0,0,,,,,
B09,1,0,2249,10.1542907959,0.251222765674,0.00385012624995,0.000356050919385,1109.31605916,605,0.13040455765,420.537162482,40.4363636364,2619.92640136,4,0,0,,,,,
B10,1,0,1963,142.197656648,5.91849210392,0.0749652989398,0.00877667664741,2491.08794361,12578,0.157226528275,805.022752881,24.2565590714,4763.82265831,4,0,0,,,,,
B11,1,0,2290,7.72707423581,0.202620087336,0.00223482323442,0.000275641853662,1084.80387819,515,0.119243338435,283.653788218,38.6504854369,2053.55607291,4,0,0,,,,,
B12,1,0,2439,9.16523165232,0.226322263223,0.00358829838959,0.000295732487061,1088.07185117,601,0.132651551179,372.255148233,40.618968386,2257.05644269,4,0,0,,,,,
B13,1,0,2251,9.54198134163,0.262994224789,0.00403825599912,0.000341512404837,1076.93810095,641,0.136318114934,438.230678855,37.2574102964,2613.74379284,4,0,0,,,,,
B14,1,0,2278,8.67910447761,0.257243195786,0.00296276942994,0.000323481000019,1035.02354982,626,0.125610710561,318.445874877,34.1581469649,2129.40502923,4,0,0,,,,,
B15,1,0,2179,14.4286369894,0.405231757687,0.00509021870342,0.000548039350788,1069.73234324,969,0.123203387429,325.614256412,35.7946336429,2185.09785916,4,0,0,,,,,
B16,1,0,2227,9.2029636282,0.247867085766,0.00380884306162,0.000332814931277,1064.89503115,602,0.134904227539,388.060543409,37.596345515,2444.97279871,4,0,0,,,,,
B17,1,0,2370,8.26582278481,0.232911392405,0.00283956997711,0.000292847553705,1055.04552059,591,0.125910052484,333.378806236,35.6226734349,2127.10248053,4,0,0,,,,,
B18,1,0,2299,8.32622879513,0.255763375381,0.00331595515961,0.000343907510764,1025.70494096,649,0.133741223422,349.291226297,32.8320493066,2175.00275766,4,0,0,,,,,
B19,1,0,2370,7.61603375527,0.2,0.00299327257773,0.000275487069103,1019.18396271,507,0.128730343925,346.649810243,38.8303747535,2242.45609161,4,0,0,,,,,
B20,1,0,2252,8.26776198934,0.239342806394,0.00245928652632,0.00030877170015,995.356813422,591,0.123318050665,261.975794905,34.8764805415,1877.06243221,4,0,0,,,,,
B21,1,0,2224,7.34757194245,0.232464028777,0.00263300954179,0.000304144740567,971.534634824,577,0.125127980548,284.328790556,32.0398613518,1916.93838742,4,0,0,,,,,
B22,1,0,2230,10.0704035874,0.296412556054,0.00395778110795,0.000365487573493,994.143842799,712,0.137653274237,422.977796146,33.9803370787,2470.70812736,4,0,0,,,,,
B23,1,0,2244,82.6942959002,3.50401069519,0.0286533643751,0.0047437252973,1286.49909336,8510,0.138805435349,338.465240063,23.889306698,2273.33251406,4,0,0,,,,,
B24,1,0,2103,9.23252496434,0.252020922492,0.00326027569208,0.000306610405759,1261.59468371,576,0.130704072802,423.900060028,36.7447916667,2619.1289355,4,0,0,,,,,
C01,1,0,2142,94.5336134454,3.64005602241,0.0372779808843,0.00511049162006,1630.18358629,8392,0.143537482928,451.925569807,26.2513107722,2896.02468261,4,0,0,,,,,
C02,1,0,2400,7.58,0.2,0.00219888004831,0.00025713478614,984.147243711,531,0.116586296296,237.976276062,38.5913370998,1811.11208776,4,0,0,,,,,
C03,1,0,2359,9.84696905468,0.233997456549,0.00303554879655,0.000286167997461,1019.98577555,591,0.122008175201,271.739608097,42.9001692047,1908.20241968,4,0,0,,,,,
C04,1,0,2407,9.21229746572,0.239717490652,0.00298721485761,0.000315089750442,1032.39543173,644,0.122090549228,332.312458694,37.8944099379,2226.19956711,4,0,0,,,,,
C05,1,0,2234,10.7578334825,0.242614145031,0.00288993914429,0.00028761614358,1023.10740992,593,0.123884838751,299.956195243,44.8212478921,2031.20889013,4,0,0,,,,,
C06,1,0,2252,9.5,0.228241563055,0.00270369924336,0.000267534287949,1102.25804783,553,0.125395990215,322.464110416,42.0235081374,2164.12319007,4,0,0,,,,,
C07,1,0,2341,9.69286629645,0.252456215293,0.00326827575565,0.00033097463889,1096.88166455,637,0.128844837176,331.304719543,39.1962323391,2179.61730718,4,0,0,,,,,
C08,1,0,2423,9.64341725134,0.26619892695,0.00327841545932,0.000345865584449,1058.36492991,706,0.126762135308,330.928535316,36.6090651558,2152.58308434,4,0,0,,,,,
C09,1,0,1961,13.0336562978,0.285568587455,0.00347849608503,0.000302784800568,1128.51926294,675,0.130828601815,359.816981447,47.2088888889,2276.11169592,4,0,0,,,,,
C10,1,0,2397,9.5727993325,0.297872340426,0.00355796278893,0.000386427566655,1104.92013634,780,0.128390418523,375.917034078,32.6153846154,2465.15234334,4,0,0,,,,,
C11,1,0,2367,8.49429657795,0.239121250528,0.00274464528971,0.000302783710597,1087.07661726,609,0.125142253734,335.735219649,35.8013136289,2266.27192285,4,0,0,,,,,
C12,1,0,2378,8.00420521447,0.227922624054,0.00363648515339,0.000306363472601,1079.66549203,603,0.132384399154,458.283013687,35.631840796,2616.39867231,4,0,0,,,,,
C13,1,0,705,13.9517730496,0.367375886525,0.00377878575949,0.000405956077755,861.813849321,276,0.129431510781,235.282081825,38.2862318841,1630.78865599,4,0,0,,,,,
C14,1,0,2309,9.10047639671,0.2802078822,0.00284736732248,0.000357653607392,1024.09584596,674,0.125307914577,293.416125378,32.7878338279,2036.39611288,4,0,0,,,,,
C15,1,0,2470,14.4408906883,0.44979757085,0.00404000219898,0.00059193072944,1022.77802371,1216,0.118456896214,236.570546776,32.8675986842,1826.11465822,4,0,0,,,,,
C16,1,0,2113,14.1661145291,0.369616658779,0.00354201886316,0.000393190539804,1009.89498573,871,0.121126387356,268.496611906,39.6946039036,1898.62791884,4,0,0,,,,,
C17,1,0,2449,6.53491220906,0.196815026541,0.00220373840529,0.000265068786068,1081.38957713,522,0.126385652633,304.598256884,34.0287356322,2078.19554174,4,0,0,,,,,
C18,1,0,2509,7.61897170187,0.212036667995,0.00258651264365,0.000282371976516,1010.0708119,573,0.123624361026,305.175355836,36.4380453752,2089.13150931,4,0,0,,,,,
C19,1,0,2136,81.422752809,3.12031835206,0.0313238832847,0.00431467670683,1464.11415887,7092,0.1366218356,407.688049539,26.3458826847,2769.72505395,4,0,0,,,,,
C20,1,0,2450,8.29020408163,0.262040816327,0.00261291358468,0.00035107285244,1026.53123129,699,0.118614566203,254.412908241,32.3061516452,1860.42415318,4,0,0,,,,,
C21,1,0,2064,8.22868217054,0.25726744186,0.00244223888134,0.000314689599169,951.802911015,576,0.121118605428,246.794714367,32.3524305556,1788.41574424,4,0,0,,,,,
C22,1,0,2349,10.0238399319,0.311621966794,0.00311380377399,0.000399914660314,946.075105157,797,0.120905660247,265.157130402,32.1681304893,1810.49963263,4,0,0,,,,,
C23,1,0,2298,59.7127937337,2.4956483899,0.0187649267157,0.00332906461588,1280.11367414,6161,0.131200070596,308.352629168,24.1464048044,2187.33424358,4,0,0,,,,,
C24,1,0,2301,10.7235984355,0.292046936115,0.00387742224621,0.000365645325033,1026.91735443,722,0.132380833781,407.220794966,36.7631578947,2375.80308011,4,0,0,,,,,
D01,1,0,2296,107.430313589,4.54398954704,0.0505058129627,0.00649899480099,1699.86191581,11280,0.152208966723,548.590191434,23.9199468085,3345.47454409,4,0,0,,,,,
D02,1,0,2292,99.9005235602,3.91972076789,0.0385223853571,0.00545316419402,1413.20731202,9845,0.144692602232,403.495814512,25.5840528187,2582.1444244,4,0,0,,,,,
D03,1,0,2441,9.26300696436,0.258500614502,0.00312268936789,0.000330936804532,1003.80685608,677,0.125366676466,314.696794024,35.7592319055,2111.51306168,4,0,0,,,,,
D04,1,0,2349,9.59982971477,0.25202213708,0.00345248613945,0.000325649390053,1038.82984428,633,0.124992296541,353.222365175,38.1548183254,2188.20073667,4,0,0,,,,,
D05,1,0,1526,10.7155963303,0.275229357798,0.00282826320431,0.000226086738886,997.099252566,460,0.1348957724,439.353970625,39.2347826087,2436.45472463,4,0,0,,,,,
D06,1,0,2355,15.8025477707,0.458174097665,0.00466751995373,0.000581003132039,1051.71017228,1162,0.118539541534,257.133032736,34.3932874355,1955.57235452,4,0,0,,,,,
