PlateNumber,Group,Well,Kinetic,MeasInfo,MeasTime,Signal,Flashes/Time,Result,
1,1,I24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:41.735,8704,0.1,87040,
1,1,J01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:46.399,7852,0.1,78520,
1,1,J02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:46.207,8788,0.1,87880,
1,1,J03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:46.015,8696,0.1,86960,
1,1,J04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:45.823,7664,0.1,76640,
1,1,J05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:45.631,8084,0.1,80840,
1,1,J06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:45.439,8308,0.1,83080,
1,1,J07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:45.247,8440,0.1,84400,
1,1,J08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:45.055,8660,0.1,86600,
1,1,J09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:44.863,8828,0.1,88280,
1,1,J10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:44.671,8568,0.1,85680,
1,1,J11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:44.479,8840,0.1,88400,
1,1,J12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:44.287,7980,0.1,79800,
1,1,J13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:44.095,8852,0.1,88520,
1,1,J14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:43.904,8932,0.1,89320,
1,1,J15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:43.713,8776,0.1,87760,
1,1,J16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:43.522,9092,0.1,90920,
1,1,J17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:43.331,7084,0.1,70840,
1,1,J18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:43.140,8128,0.1,81280,
1,1,J19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:42.948,8756,0.1,87560,
1,1,J20,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:42.757,8528,0.1,85280,
1,1,J21,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:42.565,8472,0.1,84720,
1,1,J22,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:42.373,8608,0.1,86080,
1,1,J23,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:42.181,100,0.1,1000,
1,1,J24,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:41.990,8028,0.1,80280,
1,1,K01,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:46.657,8940,0.1,89400,
1,1,K02,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:46.849,9396,0.1,93960,
1,1,K03,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:47.040,8168,0.1,81680,
1,1,K04,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:47.232,8788,0.1,87880,
1,1,K05,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:47.424,8884,0.1,88840,
1,1,K06,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:47.616,9328,0.1,93280,
1,1,K07,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:47.808,8996,0.1,89960,
1,1,K08,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:48.000,9412,0.1,94120,
1,1,K09,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:48.192,8672,0.1,86720,
1,1,K10,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:48.384,1836,0.1,18360,
1,1,K11,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:48.575,8504,0.1,85040,
1,1,K12,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:48.766,8360,0.1,83600,
1,1,K13,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:48.958,8300,0.1,83000,
1,1,K14,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:49.149,7936,0.1,79360,
1,1,K15,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:49.342,8868,0.1,88680,
1,1,K16,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:49.534,9372,0.1,93720,
1,1,K17,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:49.726,8760,0.1,87600,
1,1,K18,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:49.919,8684,0.1,86840,
1,1,K19,0,De=1st Ex=N/A Em=Top Wdw=N/A,00:00:50.111,8720,0.1,87200,
